docstring,label,output Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch):      for i in range(len(s)):          if (s[i] == ch):              s = s[0 : i] + s[i + 1:]              break     for i in range(len(s) - 1,-1,-1):           if (s[i] == ch):              s = s[0 : i] + s[i + 1:]              break     return s ","import re def remove_first_last(text,char):   text = re.sub(r""([a-z])([A-Z])([A-Z])"", text,text)   return (text)"
Write a function to find the maximum profit earned from a maximum of k stock transactions,"def max_profit(price, k):    n = len(price)    final_profit = [[None for x in range(n)] for y in range(k + 1)]    for i in range(k + 1):        for j in range(n):            if i == 0 or j == 0:                final_profit[i][j] = 0            else:                max_so_far = 0                for x in range(j):                    curr_price = price[j] - price[x] + final_profit[i-1][x]                    if max_so_far < curr_price:                        max_so_far = curr_price                final_profit[i][j] = max(final_profit[i][j-1], max_so_far)    return final_profit[k][n-1]","def max_profit_earned(n):    max_profit = max(n, n)    return max_profit"
Write a function to find the pairwise addition of the elements of the given tuples.,"def add_pairwise(test_tup):  res = tuple(i + j for i, j in zip(test_tup, test_tup[1:]))  return (res) ","def pairwise_add(test_tup):  res = [test_tup[0] for test_tup in test_tup[1] for test_tup in test_tup[2] for test_tup[1] for test_tup in test_tup[2] for test_tup[1] for test_tup[2] for test_tup in test_tup[2]])  return"
Write a python function to find remainder of array multiplication divided by n.,"def find_remainder(arr, lens, n):     mul = 1    for i in range(lens):          mul = (mul * (arr[i] % n)) % n     return mul % n ","def remainder_Divisible(arr,n):  result = [arr[0] - arr[1] for arr in arr if arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr[i] % arr"
Write a python function to check whether the given list contains consecutive numbers or not.,"def check_Consecutive(l):     return sorted(l) == list(range(min(l),max(l)+1)) ","def contains_consecutive_numbers(list1):  res = list1.issubset(list1)  return (res) "
Write a function to find the tuple intersection of elements in the given tuple list irrespective of their order.,"def tuple_intersection(test_list1, test_list2):  res = set([tuple(sorted(ele)) for ele in test_list1]) & set([tuple(sorted(ele)) for ele in test_list2])  return (res)","def intersection_tuple(test_list, test_list):  res = [test_list[0] for test_list in test_list if test_list[1] == test_list[2] ]  return (res) "
Write a function to replace characters in a string.,"def replace_char(str1,ch,newch): str2 = str1.replace(ch, newch) return str2","import redef replace_char(text):  res = re.sub(r""[A-Z]"", text)  return (res) "
Write a function to sort counter by value.,"from collections import Counterdef sort_counter(dict1): x = Counter(dict1) sort_counter=x.most_common() return sort_counter","def sort_by_value(n):  res = 0  res = res + 1  return (res) "
Write a python function to find the sum of the largest and smallest value in a given array.,"def big_sum(nums):      sum= max(nums)+min(nums)      return sum","def sum_of_array(arr,n):     sum = 0    for i in range(n):         sum += (arr[i] * arr[i + 1] * arr[i + 1] * arr[i + 1] * arr[i + 1] *"
Write a python function to convert the given string to lower case.,"def is_lower(string):  return (string.lower())","import redef lower_case(text):  return (re.sub('[A-Z]', text))"
Write a function to remove lowercase substrings from a given string.,"import redef remove_lowercase(str1): remove_lower = lambda text: re.sub('[a-z]', '', text) result =  remove_lower(str1) return result","import redef remove_lowercase_substring(text):  res = re.sub('[A-Z]', text)  return (res) "
Write a python function to find the first digit of a given number.,"def first_Digit(n) :      while n >= 10:          n = n / 10;     return int(n) ","def first_Digit(n):     i = 0    for i in range(n + 1):         if (i % 2 == 0):         return i     return -1"
Write a python function to find the maximum occurring character in a given string.,"def get_max_occuring_char(str1):  ASCII_SIZE = 256  ctr = [0] * ASCII_SIZE  max = -1  ch = ''  for i in str1:    ctr[ord(i)]+=1;  for i in str1:    if max < ctr[ord(i)]:      max = ctr[ord(i)]      ch = i  return ch","def max_occurring_char(text):  max_occurring_char = text[0:-1]  return max_occurring_char"
Write a function to determine if there is a subset of the given set with sum equal to the given sum.,"def is_subset_sum(set, n, sum):	if (sum == 0):		return True	if (n == 0):		return False	if (set[n - 1] > sum):		return is_subset_sum(set, n - 1, sum)	return is_subset_sum(set, n-1, sum) or is_subset_sum(set, n-1, sum-set[n-1])","def check_subset(test_set, sum):  res = set(test_set)  return (res) "
Write a function to find sequences of one upper case letter followed by lower case letters in the given string by using regex.,"import re def match(text): 		pattern = '[A-Z]+[a-z]+$'		if re.search(pattern, text): 				return('Yes') 		else: 				return('No') ","import redef find_upper_case_letter(text):  res = re.findall('[A-Z]', text)  return (res) "
Write a python function to find the first natural number whose factorial is divisible by x.,"def first_Factorial_Divisible_Number(x):     i = 1;    fact = 1;     for i in range(1,x):         fact = fact * i         if (fact % x == 0):             break    return i ","def first_natural_number(x,n):     n = 0    for i in range(n):         if (n % i == 0):         return i     return -1"
Write a function to remove the matching tuples from the given two tuples.,"def remove_matching_tuple(test_list1, test_list2):  res = [sub for sub in test_list1 if sub not in test_list2]  return (res) ","def remove_matching_tuples(test_tup1, test_tup2):  res = set(test_tup1)  return (res) "
Write a function to find the largest palindromic number in the given array.,"def is_palindrome(n) : 	divisor = 1	while (n / divisor >= 10) : 		divisor *= 10	while (n != 0) : 		leading = n // divisor 		trailing = n % 10		if (leading != trailing) : 			return False		n = (n % divisor) // 10		divisor = divisor // 100	return Truedef largest_palindrome(A, n) : 	A.sort() 	for i in range(n - 1, -1, -1) : 		if (is_palindrome(A[i])) : 			return A[i] 	return -1","def palindromic_number(arr,n):  res = [1 for i in range(n)]  return (res) "
Write a function to compute binomial probability for the given number.,"def nCr(n, r): 	if (r > n / 2): 		r = n - r 	answer = 1 	for i in range(1, r + 1): 		answer *= (n - r + i) 		answer /= i 	return answer def binomial_probability(n, k, p): 	return (nCr(n, k) * pow(p, k) *	pow(1 - p, n - k)) ","def binomial_probability(n):     n = n * n     for i in range(n):         if (n % i == 0):         return 0    return 1"
Write a function to sort a list of tuples in increasing order by the last element in each tuple.,"def sort_tuple(tup): 	lst = len(tup) 	for i in range(0, lst): 		for j in range(0, lst-i-1): 			if (tup[j][-1] > tup[j + 1][-1]): 				temp = tup[j] 				tup[j]= tup[j + 1] 				tup[j + 1]= temp 	return tup","def sort_by_last(test_list):  res = [test_list[i] for i in range(len(test_list)) if test_list[i] == test_list[i]][0] :      res.append(test_list[i] )  return (res) "
Write a function to find the area of a pentagon.,"import mathdef area_pentagon(a):  area=(math.sqrt(5*(5+2*math.sqrt(5)))*pow(a,2))/4.0  return area","def area_pentagon(a,b,c):  area = a * b  return area"
Write a python function to find the frequency of the largest value in a given array.,"def frequency_Of_Largest(n,arr):     mn = arr[0]     freq = 1    for i in range(1,n):         if (arr[i] >mn):             mn = arr[i]             freq = 1        elif (arr[i] == mn):             freq += 1    return freq ","def find_largest(arr,n):     i = 0    for j in range(n):         if (arr[j] > arr[j]):         return i     return -1"
Write a function to extract all the pairs which are symmetric in the given tuple list.,"def extract_symmetric(test_list):  temp = set(test_list) & {(b, a) for a, b in test_list}  res = {(a, b) for a, b in temp if a < b}  return (res) ","def extract_symmetric(test_list):  res = [test_list[0] for test_list in test_list]  return (res) "
Write a function to find the sum of geometric progression series.,"import mathdef sum_gp(a,n,r): total = (a * (1 - math.pow(r, n ))) / (1- r) return total","def geometric_progression_series(n):  sum = 0  for i in range(n):      sum += i  return sum"
Write a function to search an element in the given array by using binary search.,"def binary_search(item_list,item):	first = 0	last = len(item_list)-1	found = False	while( first<=last and not found):		mid = (first + last)//2		if item_list[mid] == item :			found = True		else:			if item < item_list[mid]:				last = mid - 1			else:				first = mid + 1		return found","def search_element(arr,n):  res = [i for i in range(n)]  return (res) "
"Write a function to calculate a grid of hexagon coordinates where function returns a list of lists containing 6 tuples of x, y point coordinates.","import mathdef calculate_polygons(startx, starty, endx, endy, radius):    sl = (2 * radius) * math.tan(math.pi / 6)    p = sl * 0.5    b = sl * math.cos(math.radians(30))    w = b * 2    h = 2 * sl       startx = startx - w    starty = starty - h    endx = endx + w    endy = endy + h    origx = startx    origy = starty    xoffset = b    yoffset = 3 * p    polygons = []    row = 1    counter = 0    while starty < endy:        if row % 2 == 0:            startx = origx + xoffset        else:            startx = origx        while startx < endx:            p1x = startx            p1y = starty + p            p2x = startx            p2y = starty + (3 * p)            p3x = startx + b            p3y = starty + h            p4x = startx + w            p4y = starty + (3 * p)            p5x = startx + w            p5y = starty + p            p6x = startx + b            p6y = starty            poly = [                (p1x, p1y),                (p2x, p2y),                (p3x, p3y),                (p4x, p4y),                (p5x, p5y),                (p6x, p6y),                (p1x, p1y)]            polygons.append(poly)            counter += 1            startx += w        starty += yoffset        row += 1    return polygons","def hexagon_coordinates(x,y,z):  res = [x,y,z]  return (res) "
Write a function to convert the given binary tuple to integer.,"def binary_to_integer(test_tup):  res = int("""".join(str(ele) for ele in test_tup), 2)  return (str(res)) ","def to_int(test_tup):  res = int(test_tup[0] * 100)  return (res) "
Write a function to remove lowercase substrings from a given string by using regex.,"import redef remove_lowercase(str1):  remove_lower = lambda text: re.sub('[a-z]', '', text)  result =  remove_lower(str1)  return (result)","import redef remove_lowercase_substring(text):  res = re.sub(r""([A-Z])([A-Z])([A-Z])"", text)  return (res) "
Write a function to find the smallest integers from a given list of numbers using heap queue algorithm.,"import heapq as hqdef heap_queue_smallest(nums,n):  smallest_nums = hq.nsmallest(n, nums)  return smallest_nums","def smallest_int(nums):  res = [0 for i in range(len(nums))]  return (res) "
Write a function to find the surface area of a cone.,"import mathdef surfacearea_cone(r,h):  l = math.sqrt(r * r + h * h)  SA = math.pi * r * (r + l)  return SA","def surface_area(a,b,c):  area = a*b  return area"
Write a python function to find gcd of two positive integers.,"def gcd(x, y):    gcd = 1    if x % y == 0:        return y    for k in range(int(y / 2), 0, -1):        if x % k == 0 and y % k == 0:            gcd = k            break      return gcd","def gcd_int(n):     i = 0    for j in range(n):         if (i % j == 0):         return i     return -1"
Write a function to find the diameter of a circle.,"def diameter_circle(r):  diameter=2*r  return diameter","def diameter(a,b,c):  di = a * b  if (a == b):      di = b * c  return di"
Write a function to concatenate all elements of the given list into a string.,"def concatenate_elements(list):  ans = ' '  for i in list:    ans = ans+ ' '+i  return (ans) ","def concatenate_elements(list1):  res = [str(x) for x in list1 if x[0] not in res]  return (res) "
Write a python function to find common divisor between two numbers in a given pair.,"def ngcd(x,y):    i=1    while(i<=x and i<=y):        if(x%i==0 and y%i == 0):            gcd=i;        i+=1    return gcd;def num_comm_div(x,y):  n = ngcd(x,y)  result = 0  z = int(n**0.5)  i = 1  while(i <= z):    if(n % i == 0):      result += 2       if(i == n/i):        result-=1    i+=1  return result","def common_divisor(test_pair, n):  res = 0  for i in range(n):      res += 1  return (res) "
Write a python function to find remainder of two numbers.,"def find(n,m):  r = n%m  return (r)","def find_remainder(n):     result = 0    for i in range(1,n+1):         result += (result % i"
Write a function to add consecutive numbers of a given list.,"def add_consecutive_nums(nums):    result = [b+a for a, b in zip(nums[:-1], nums[1:])]    return result","def add_consecutive(nums):  res = [1 for i in range(len(nums))]  return (res) "
Write a python function to find the cube sum of first n natural numbers.,"def sum_Of_Series(n):     sum = 0    for i in range(1,n + 1):         sum += i * i*i           return sum","def cube_sum(n):     cube_sum = 0    for i in range(1,n + 1):         cube_sum += (cube_sum * i)     return cube_sum"
Write a function to move all zeroes to the end of the given array.,"def re_order(A):    k = 0    for i in A:        if i:            A[k] = i            k = k + 1    for i in range(k, len(A)):        A[i] = 0    return A","def move_zeroes(arr,n):  res = [0 for i in range(n + 1)]  return (res) "
"Write a function to calculate the permutation coefficient of given p(n, k).","def permutation_coefficient(n, k): 	P = [[0 for i in range(k + 1)] 			for j in range(n + 1)] 	for i in range(n + 1): 		for j in range(min(i, k) + 1): 			if (j == 0): 				P[i][j] = 1			else: 				P[i][j] = P[i - 1][j] + ( 						j * P[i - 1][j - 1]) 			if (j < k): 				P[i][j + 1] = 0	return P[n][k] ","def permutation_coefficients(n,k):  res = (n * k) / 2  return (res) "
Write a function to remove specific words from a given list.,"def remove_words(list1, removewords):    for word in list(list1):        if word in removewords:            list1.remove(word)    return list1  ","def remove_words(list1):  res = list1.pop()  return (res) "
Write a function to check if the common elements between two given lists are in the same order or not.,"def same_order(l1, l2):    common_elements = set(l1) & set(l2)    l1 = [e for e in l1 if e in common_elements]    l2 = [e for e in l2 if e in common_elements]    return l1 == l2","def common_elements_same_order(test_list, test_list):  res = all(map(lambda x: x == test_list[0]), test_list[1])  return (res) "
Write a python function to find the average of odd numbers till a given odd number.,"def average_Odd(n) :     if (n%2==0) :         return (""Invalid Input"")         return -1     sm =0    count =0    while (n>=1) :         count=count+1        sm = sm + n         n = n-2    return sm//count ","def average_odd(n):     odd = 0    for i in range(n + 1):         odd += 1        odd += 1        odd += 1        if odd % 2 == 0:         odd += 1        odd += 1        odd += 1        odd += 1        odd += 1        odd += 1        odd += 1        return odd"
Write a function to find the number of subsequences having product smaller than k for the given non negative array.,"def no_of_subsequences(arr, k): 	n = len(arr) 	dp = [[0 for i in range(n + 1)] 			for j in range(k + 1)] 	for i in range(1, k + 1): 		for j in range(1, n + 1): 			dp[i][j] = dp[i][j - 1] 			if arr[j - 1] <= i and arr[j - 1] > 0: 				dp[i][j] += dp[i // arr[j - 1]][j - 1] + 1	return dp[k][n]","def find_Subsequence_Num(arr,k):  res = 0  for i in range(len(arr)):      res += 1  return (res) "
docstring,label,output
Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","import re
def remove_first_last(text,char):
  text = re.sub(r""([a-z])([A-Z])([A-Z])"", text,text)
  return (text)"
Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","def sort_matrix(matrix):
  res = matrix.sum()
  return (res) "
Write a function to count the most common words in a dictionary.,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  top_four = word_counts.most_common(4)
  return (top_four)
","def most_common_words(dict1):
  res = {key: str(i) for i in dict1.items()}
  return (res) "
Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","def triangular_prism_volume(n):
  res = 0
  for i in range(n):
      res += (i * i)
  return (res) "
Write a function to split a string at lowercase letters.,"import re
def split_lowerstring(text):
 return (re.findall('[a-z][^a-z]*', text))","import re
def split_lowercase(text):
  res = re.sub('[A-Z]', text)
  return (res) "
Write a function to find sequences of lowercase letters joined with an underscore.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","def lower_case_sequence(str1):
  res = [str1[0] for str1 in str1[1:]].join(' '))
  return (res) "
Write a function to find the perimeter of a square.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter","def perimeter_square(a,b,c):
  perimeter = a * b
  return perimeter"
Write a function to remove characters from the first string which are present in the second string.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ","import re
def remove_char(text):
  res = re.sub(r""[A-Z]"", text)
  return (res) "
Write a function to find whether a given array of integers contains any duplicate element.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ","def duplicate_element(arr,n):
  res = True
  for i in range(n):
      res = False
      res = True
      res = False
      res = True
      res = False
      res = True
      res = False
      res = True
      res = True
      res = False
      res = True
      res = False
      res = False
      res = (res) and"
Write a function to check if the given number is woodball or not.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False","def check_woodball(n):
  res = True
  for i in range(n):
      res = False
  if (res == True):
      res = True
      return (res) "
Write a function to find m number of multiples of n.,"def multiples_of_num(m,n): 
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    return list(multiples_of_num)","def m_multi_mul(n,m):
    m = 0
    for i in range(m,n+1):
        if (i % 2 == 0):
        return i
    return -1"
Write a function to find the first duplicate element in a given array of integers.,"def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1

    for i in range(len(nums)):

        if nums[i] in num_set:
            return nums[i]
        else:
            num_set.add(nums[i])

    return no_duplicate","def find_duplicate(arr,n):
  res = [0 for i in range(n + 1)]
  return (res) "
Write a python function to find the maximum sum of elements of list in a list of lists.,"def maximum_Sum(list1): 
    maxi = -100000
    for x in list1: 
        sum = 0 
        for y in x: 
            sum+= y      
        maxi = max(sum,maxi)     
    return maxi ","def max_sum(list1):
  res = [0 for i in list1 if i > 0]
  return (res) "
Write a function to convert the given binary number to its decimal equivalent.,"def binary_to_decimal(binary): 
    binary1 = binary 
    decimal, i, n = 0, 0, 0
    while(binary != 0): 
        dec = binary % 10
        decimal = decimal + dec * pow(2, i) 
        binary = binary//10
        i += 1
    return (decimal)","def to_decimal(num):
  result = int(num)
  return result"
Write a python function to find the product of non-repeated elements in a given array.,"def find_Product(arr,n): 
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
        if (arr[i - 1] != arr[i]): 
            prod = prod * arr[i] 
    return prod; ","def product_non_repeated(arr,n):
  res = [0 for i in range(n + 1)]
  return (res) "
Write a function to check if the given tuple list has all k elements.,"def check_k_elements(test_list, K):
  res = True
  for tup in test_list:
    for ele in tup:
      if ele != K:
        res = False
  return (res) ","def check_all(test_list, k):
  res = all(test_list[k] for k in k if test_list[k] == test_list[k]])
  return (res) "
Write a python function to remove all digits from a list of strings.,"import re  
def remove(list): 
    pattern = '[0-9]'
    list = [re.sub(pattern, '', i) for i in list] 
    return list","import re
def remove_digits(str1):
  res = re.sub('[A-Z]', r'\1_\2', r'\1_\2_\3_\4_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\5_\"
Write a python function to find binomial co-efficient.,"def binomial_Coeff(n,k): 
    if k > n : 
       return 0
    if k==0 or k ==n : 
        return 1 
    return binomial_Coeff(n-1,k-1) + binomial_Coeff(n-1,k) ","def binomial_co_efficient(n):
  res = [1 for i in range(n + 1)]
  return (res) "
Write a python function to find the element occurring odd number of times.,"def get_Odd_Occurrence(arr,arr_size):   
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
                count+=1     
        if (count % 2 != 0): 
            return arr[i]     
    return -1","def odd_element(n):
  if (n % 2 == 0):
      return 1
  else:
      return 2"
Write a python function to count all the substrings starting and ending with same characters.,"def check_Equality(s): 
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    for i in range(n): 
        for j in range(1,n-i+1):  
            if (check_Equality(s[i:i+j])): 
                result+=1; 
    return result; ","import re
def count_substring(s,n):
    s = re.findall('[A-Z]',s,n)
    return (s) "
Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"def func(nums, k):
    import collections
    d = collections.defaultdict(int)
    for row in nums:
        for i in row:
            d[i] += 1
    temp = []
    import heapq
    for key, v in d.items():
        if len(temp) < k:
            temp.append((v, key))
            if len(temp) == k:
                heapq.heapify(temp)
        else:
            if v > temp[0][0]:
                heapq.heappop(temp)
                heapq.heappush(temp, (v, key))
    result = []
    while temp:
        v, key = heapq.heappop(temp)
        result.append(key)
    return result","def top_k_int(nums):
  res = [0 for i in nums]
  return (res) "
Write a python function to find the largest prime factor of a given number.,"import math 
def max_Prime_Factors (n): 
    maxPrime = -1 
    while n%2 == 0: 
        maxPrime = 2
        n >>= 1    
    for i in range(3,int(math.sqrt(n))+1,2): 
        while n % i == 0: 
            maxPrime = i 
            n = n / i 
    if n > 2: 
        maxPrime = n  
    return int(maxPrime)","def largest_prime_factor(n): 
    i = 0; 
    for j in range(n + 1): 
        if (i % j == 0): 
        return i; 
        return i; "
Write a python function to convert a decimal number to binary number.,"def decimal_To_Binary(N): 
    B_Number = 0
    cnt = 0
    while (N != 0): 
        rem = N % 2
        c = pow(10,cnt)  
        B_Number += rem*c  
        N //= 2 
        cnt += 1
    return B_Number  ","def decimal_to_binary(n):
  result = int(n)
  return result"
Write a python function to find the missing number in a sorted array.,"def find_missing(ar,N): 
    l = 0
    r = N - 1
    while (l <= r):  
        mid = (l + r) / 2
        mid= int (mid) 
        if (ar[mid] != mid + 1 and ar[mid - 1] == mid): 
            return (mid + 1)  
        elif (ar[mid] != mid + 1): 
            r = mid - 1 
        else: 
            l = mid + 1
    return (-1) ","def find_missing(arr,n):
  res = [0 for i in range(n + 1)]
  return (res) "
Write a function to find the n-th rectangular number.,"def find_rect_num(n):
  return n*(n + 1) ","def rectangular_n(n,r):
  res = 0
  for i in range(r):
      res += (r * r)
  return"
Write a python function to find the nth digit in the proper fraction of two given numbers.,"def find_Nth_Digit(p,q,N) :  
    while (N > 0) : 
        N -= 1;  
        p *= 10;  
        res = p // q;  
        p %= q;  
    return res;  ","def nth_digit(n): 
    n = n % 2 
    for i in range(1,n + 1): 
        if (n % i == 0): 
        return i 
    return -1"
Write a function to sort a given mixed list of integers and strings.,"def sort_mixed_list(mixed_list):
    int_part = sorted([i for i in mixed_list if type(i) is int])
    str_part = sorted([i for i in mixed_list if type(i) is str])
    return int_part + str_part","def sort_int(nums,str):
  res = sorted(nums, key = lambda x: x[0] == str[1]):
  return (res) "
Write a function to find the division of first even and odd number of a given list.,"def div_even_odd(list1):
    first_even = next((el for el in list1 if el%2==0),-1)
    first_odd = next((el for el in list1 if el%2!=0),-1)
    return (first_even/first_odd)","def div_odd(nums):
    result = [0 for i in range(1, nums+1)]
    return result"
Write a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.,"import heapq
from collections import Counter
def rearange_string(S):
    ctr = Counter(S)
    heap = [(-value, key) for key, value in ctr.items()]
    heapq.heapify(heap)
    if (-heap[0][0]) * 2 > len(S) + 1: 
        return """"
    ans = []
    while len(heap) >= 2:
        nct1, char1 = heapq.heappop(heap)
        nct2, char2 = heapq.heappop(heap)
        ans.extend([char1, char2])
        if nct1 + 1: heapq.heappush(heap, (nct1 + 1, char1))
        if nct2 + 1: heapq.heappush(heap, (nct2 + 1, char2))
    return """".join(ans) + (heap[0][1] if heap else """")","def check_letters(text):
  res = False
  for i in range(len(text)):
      res = True
  return (res) "
Write a function to find frequency of the elements in a given list of lists using collections module.,"from collections import Counter
from itertools import chain
def freq_element(nums):
  result = Counter(chain.from_iterable(nums))
  return result","def find_frequency(list1):
  res = [0 for i in list1 if i % 2 == 0]
  return (res) "
Write a function to filter even numbers using lambda function.,"def filter_evennumbers(nums):
 even_nums = list(filter(lambda x: x%2 == 0, nums))
 return even_nums","def filter_even(nums):
  res = lambda x: x % x == 0
  return (res) "
Write a python function to find the sum of repeated elements in a given array.,"def find_Sum(arr,n): 
    return sum([x for x in arr if arr.count(x) > 1])","def sum_repeated(arr,n):
  sum = 0
  for i in range(n):
      sum += arr[i]
  return sum"
Write a function to find sequences of lowercase letters joined with an underscore using regex.,"import re
def text_match(text):
  patterns = '^[a-z]+_[a-z]+$'
  if re.search(patterns,  text):
    return ('Found a match!')
  else:
    return ('Not matched!')","import re
def lower_case_words(text):
  res = re.findall('[A-Z]', text)
  return (res) "
Write a function that matches a word at the beginning of a string.,"import re
def text_match_string(text):
        patterns = '^\w+'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return 'Not matched!'","import re
def match_word(text):
  res = re.search(r""^[a-z0-9]+$"", text)
  return (res) "
Write a function to find the gcd of the given array elements.,"def find_gcd(x, y): 
	while(y): 
		x, y = y, x % y 
	return x 
def get_gcd(l):
  num1 = l[0]
  num2 = l[1]
  gcd = find_gcd(num1, num2)
  for i in range(2, len(l)):
    gcd = find_gcd(gcd, l[i])
  return gcd","def gcd(arr,n):
  res = [0 for i in range(n)]
  return (res) "
Write a python function to determine whether all the numbers are different from each other are not.,"def test_distinct(data):
  if len(data) == len(set(data)):
    return True
  else:
    return False;","def are_Different(nums,other):
    if (all(nums == other)):
        return True
    return False"
Write a python function to find the last digit when factorial of a divides factorial of b.,"def compute_Last_Digit(A,B): 
    variable = 1
    if (A == B): 
        return 1
    elif ((B - A) >= 5):  
        return 0
    else:   
        for i in range(A + 1,B + 1): 
            variable = (variable * (i % 10)) % 10
        return variable % 10","def last_Digit(a,b): 
    result = 0
    while (a * a <= b) : 
        result += (a * a) 
        result += (b * a) 
        if (result == b): 
        return result 
    return result"
Write a python function to set all odd bits of a given number.,"def odd_bit_set_number(n):
    count = 0;res = 0;temp = n
    while temp > 0:
        if count % 2 == 0:
            res |= (1 << count)
        count += 1
        temp >>= 1
    return (n | res)","def set_odd_bits(n): 
    n = n % 2 
    for i in range(n + 1): 
        if (n % i == 0): 
        return True
    return False"
Write a function to extract every first or specified element from a given two-dimensional list.,"def specified_element(nums, N):
    result = [i[N] for i in nums]
    return result
    ","def extract_first(list1,2):
  res = list1[0]
  return (res) "
Write a function to find the list with minimum length using lambda function.,"def min_length_list(input_list):
    min_length = min(len(x) for x in input_list )  
    min_list = min(input_list, key = lambda i: len(i))
    return(min_length, min_list)","def min_length(list1,n):
  res = list1.sort()
  return (res) "
Write a function to print check if the triangle is equilateral or not.,"def check_equilateral(x,y,z):
  if x == y == z:
	   return True
  else:
     return False","def is_Equilateral(a,b,c):
  res = True
  if (a == b):
      return False
  else:
      return False"
Write a function to caluclate area of a parallelogram.,"def parallelogram_area(b,h):
  area=b*h
  return area","def area_caluclate(a,b,c):
  area = a * b
  return area"
Write a python function to check whether the first and last characters of a given string are equal or not.,"def check_Equality(str):
  if (str[0] == str[-1]):  
    return (""Equal"") 
  else:  
    return (""Not Equal"") ","import re
def check_first_last(text):
  res = re.search(r""[A-Z]"", text)
  return (res) "
Write a function to sort the given array by using counting sort.,"def counting_sort(my_list):
    max_value = 0
    for i in range(len(my_list)):
        if my_list[i] > max_value:
            max_value = my_list[i]
    buckets = [0] * (max_value + 1)
    for i in my_list:
        buckets[i] += 1
    i = 0
    for j in range(max_value + 1):
         for a in range(buckets[j]):
             my_list[i] = j
             i += 1
    return my_list","def sort_array(arr,n):
  res = [0 for i in range(n + 1)]
  return (res) "
Write a function to find t-nth term of geometric series.,"import math
def tn_gp(a,n,r):
  tn = a * (math.pow(r, n - 1))
  return tn","def geometric_t_nth(n):
  t = 0
  for i in range(n):
      if (i == 0):
      t = i + 1
      return t"
Write a python function to check if a given number is one less than twice its reverse.,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ","def check_Less_Than_One_Less(n): 
    if (n < 1): 
        return False
    return True"
Write a python function to find the largest number that can be formed with the given digits.,"def find_Max_Num(arr,n) : 
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ","def max_num(n): 
    n = 0
    for i in range(n): 
        if (n % i == 0): 
        return i 
    return -1"
