id,description,md5,foxdog,hexdigits,lorem,punctuation,whitespace,zebra
1,remove all instances of the letter e from the string,330a5d6abe2e16850a2b1e6c631327eb,Th quick brown fox jumps ovr a lazy dog!,0123456789abcdfABCDEF,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~"," 	
",How quickly daft jumping zbras vx!
2,replace all spaces with exclamation points in the string,e352e2018e7387c3b7b09abffe962cfc,The!quick!brown!fox!jumps!over!a!lazy!dog!,0123456789abcdefABCDEF,"Lorem!ipsum!dolor!sit!amet,!consectetur!adipiscing!elit,!sed!do!eiusmod!tempor!incididunt!ut!labore!et!dolore!magna!aliqua.!Ut!enim!ad!minim!veniam,!quis!nostrud!exercitation!ullamco!laboris!nisi!ut!aliquip!ex!ea!commodo!consequat.!Duis!aute!irure!dolor!in!reprehenderit!in!voluptate!velit!esse!cillum!dolore!eu!fugiat!nulla!pariatur.!Excepteur!sint!occaecat!cupidatat!non!proident,!sunt!in!culpa!qui!officia!deserunt!mollit!anim!id!est!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~","!	
",How!quickly!daft!jumping!zebras!vex!
3,convert the string s to lowercase,3943292a75b5d075393cfc155579cbd2,the quick brown fox jumps over a lazy dog!,0123456789abcdefabcdef,"lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~"," 	
",how quickly daft jumping zebras vex!
4,remove the first and last two characters of the string,603c049e5086425831ae8c78af777e9a,e quick brown fox jumps over a lazy do,23456789abcdefABCD,"rem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|","
",w quickly daft jumping zebras ve
5,removes all vowels from the string,f531cea6de9f470913a4e2a9e4193623,Th qck brwn fx jmps vr  lzy dg!,0123456789bcdfBCDF,"Lrm psm dlr st mt, cnscttr dpscng lt, sd d smd tmpr ncddnt t lbr t dlr mgn lq. t nm d mnm vnm, qs nstrd xrcttn llmc lbrs ns t lqp x  cmmd cnsqt. Ds t rr dlr n rprhndrt n vlptt vlt ss cllm dlr  fgt nll prtr. xcptr snt ccct cpdtt nn prdnt, snt n clp q ffc dsrnt mllt nm d st lbrm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~"," 	
",Hw qckly dft jmpng zbrs vx!
6,remove every third character from the string,02256474f5d7e59736b6e2f3148e7ba9,hequckbrwnfo jmp oera az dg!,124578abdeABDE,"orm psm olr itamt,coseteuradpicig li, eddoeismd emoriniddut t abreetdoor mgn aiqa.Utenm d inm enam qisnotrd xeciatonulamo abri nsiutalqup x a omod cnsqut.Dus ut iur dlo i rprhedeitinvoupat vli esecilu dloe u ugatnulapaiaur Eceter in ocaca cpiatt onpridnt sntincupaqu ofiiadeerntmoli aimides lboum","""#%&()+,./;<>?[\^_{|~","	
",owqucky af jmpngzera vx!
7,"drop the last half of the string, as computed by characters",346c566ac114e2a6812c10d204bade76,The quick brown fox j,0123456789a,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo c","!""#$%&'()*+,-./:"," 	
",How quickly daft j
8,replace spaces with triple spaces,aebcc18d4fb339e4dcf0e0f4f7fd5305,The   quick   brown   fox   jumps   over   a   lazy   dog!,0123456789abcdefABCDEF,"Lorem   ipsum   dolor   sit   amet,   consectetur   adipiscing   elit,   sed   do   eiusmod   tempor   incididunt   ut   labore   et   dolore   magna   aliqua.   Ut   enim   ad   minim   veniam,   quis   nostrud   exercitation   ullamco   laboris   nisi   ut   aliquip   ex   ea   commodo   consequat.   Duis   aute   irure   dolor   in   reprehenderit   in   voluptate   velit   esse   cillum   dolore   eu   fugiat   nulla   pariatur.   Excepteur   sint   occaecat   cupidatat   non   proident,   sunt   in   culpa   qui   officia   deserunt   mollit   anim   id   est   laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~","   	
",How   quickly   daft   jumping   zebras   vex!
9,reverse the order of words in the string,cdfe6176fba05f68d363d4b54c3bbb31,dog! lazy a over jumps fox brown quick The,0123456789abcdefABCDEF,"laborum? est id anim mollit deserunt officia qui culpa in sunt proident, non cupidatat occaecat sint Excepteur pariatur. nulla fugiat eu dolore cillum esse velit voluptate in reprehenderit in dolor irure aute Duis consequat. commodo ea ex aliquip ut nisi laboris ullamco exercitation nostrud quis veniam, minim ad enim Ut aliqua. magna dolore et labore ut incididunt tempor eiusmod do sed elit, adipiscing consectetur amet, sit dolor ipsum Lorem","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",,vex! zebras jumping daft quickly How
10,"drop the first half of the string, as computed by number of words",18c583ea33543c1e2144e176593c05af,jumps over a lazy dog!,0123456789abcdefABCDEF,"commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",,jumping zebras vex!
11,add the word apples after every word in the string,bdd652216b7bd2bfa69a689b24fd93a4,The apples quick apples brown apples fox apples jumps apples over apples a apples lazy apples dog! apples,0123456789abcdefABCDEF apples,"Lorem apples ipsum apples dolor apples sit apples amet, apples consectetur apples adipiscing apples elit, apples sed apples do apples eiusmod apples tempor apples incididunt apples ut apples labore apples et apples dolore apples magna apples aliqua. apples Ut apples enim apples ad apples minim apples veniam, apples quis apples nostrud apples exercitation apples ullamco apples laboris apples nisi apples ut apples aliquip apples ex apples ea apples commodo apples consequat. apples Duis apples aute apples irure apples dolor apples in apples reprehenderit apples in apples voluptate apples velit apples esse apples cillum apples dolore apples eu apples fugiat apples nulla apples pariatur. apples Excepteur apples sint apples occaecat apples cupidatat apples non apples proident, apples sunt apples in apples culpa apples qui apples officia apples deserunt apples mollit apples anim apples id apples est apples laborum? apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",,How apples quickly apples daft apples jumping apples zebras apples vex! apples
12,make every other character in the string uppercase,e631ac43855af1e19463bb99695d9e0d,ThE QuIcK BrOwN FoX JuMpS OvEr a lAzY DoG!,0123456789AbCdEfABCDEF,"LoReM IpSuM DoLoR SiT AmEt, CoNsEcTeTuR AdIpIsCiNg eLiT, sEd dO EiUsMoD TeMpOr iNcIdIdUnT Ut lAbOrE Et dOlOrE MaGnA AlIqUa. Ut eNiM Ad mInIm vEnIaM, qUiS NoStRuD ExErCiTaTiOn uLlAmCo lAbOrIs nIsI Ut aLiQuIp eX Ea cOmMoDo cOnSeQuAt. DuIs aUtE IrUrE DoLoR In rEpReHeNdErIt iN VoLuPtAtE VeLiT EsSe cIlLuM DoLoRe eU FuGiAt nUlLa pArIaTuR. EXcEpTeUr sInT OcCaEcAt cUpIdAtAt nOn pRoIdEnT, sUnT In cUlPa qUi oFfIcIa dEsErUnT MoLlIt aNiM Id eSt lAbOrUm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~"," 	
",HoW QuIcKlY DaFt jUmPiNg zEbRaS VeX!
13,"delete all excamation points, question marks, and periods from the string",7508edf0f946650245fb037726d75ca1,The quick brown fox jumps over a lazy dog,0123456789abcdefABCDEF,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","""#$%&'()*+,-/:;<=>@[\]^_`{|}~"," 	
",How quickly daft jumping zebras vex
